Concert ID,Date,Venue,City,State,Artists,Has Setlist
190,2003-08-11,PNC Bank Arts Center,Holmdel,NJ,"KISS (festival_performer), Aerosmith (festival_performer)",True
191,2003-08-28,Giants Stadium,East Rutherford,NJ,Bruce Springsteen & the E Street Band (headliner),False
192,2003-09-06,Grange Fair,Yorktown Heights,NY,Mountain (headliner),False
193,2003-09-24,Central Park,New York,NY,Dave Matthews Band (headliner),True
194,2003-09-30,Madison Square Garden,New York,NY,Fleetwood Mac (headliner),True
195,2003-10-04,Shea Stadium,Queens,NY,Bruce Springsteen & the E Street Band (headliner),False
196,2003-11-16,Madison Square Garden,New York,NY,"KISS (festival_performer), Aerosmith (festival_performer)",True
197,2003-12-08,Convention Hall,Asbury Park,NJ,"Bruce Springsteen (headliner), Max Weinberg 7 & Friends (opener)",True
198,2004-01-18,BB King Blues Club,New York,NY,"Southside Johnny (festival_performer), the Asbury Jukes (festival_performer)",False
199,2004-02-22,Izod Center,East Rutherford,NJ,Barenaked Ladies (headliner),True
2,1995-12-21,Westchester County Center,White Plains,NY,Kenny Rogers (headliner),False
20,1996-06-24,Nassau Coliseum,Uniondale,NY,The Eagles (headliner),True
200,2004-03-28,Beacon Theatre,New York,NY,Allman Brothers Band (headliner),True
201,2004-04-27,Total Mortgage Arena,Bridgeport,CT,Elton John (headliner),True
202,2004-05-22,Madison Square Garden,New York,NY,"The Who (headliner), David Johanssen (opener)",True
203,2004-06-22,Izod Center,East Rutherford,NJ,Van Halen (Hagar) (headliner),True
204,2004-06-28,Madison Square Garden,New York,NY,"Eric Clapton (headliner), Robert Randolph band (opener)",True
205,2004-07-07,Izod Center,East Rutherford,NJ,Madonna (headliner),True
206,2004-07-16,Izod Center,East Rutherford,NJ,Prince (headliner),True
207,2004-07-17,The Meadowlands,East Rutherford,NJ,Dave Matthews Band (headliner),True
208,2004-07-18,Radio City Music Hall,New York,NY,"Elton John (festival_performer), Symphony (festival_performer)",False
209,2004-07-21,Jones Beach Theater,Wantagh,NY,"KISS (headliner), Poison (opener)",True
21,1996-07-04,Broad Street Ballroom,New York,NY,The Band (headliner),True
210,2004-08-12,Jones Beach Theater,Wantagh,NY,"Crosby, Stills (festival_performer), Nash (festival_performer)",False
211,2004-08-24,Jones Beach Theater,Wantagh,NY,Allman Brothers Band (headliner),True
212,2004-08-28,Mohegan Sun Arena,Uncasville,CT,Cher (headliner),True
213,2004-09-04,Jones Beach Theater,Wantagh,NY,"Jimmy Buffett (festival_performer), Coral Reefer Band (festival_performer)",False
214,2004-09-18,Madison Square Garden,New York,NY,Phil Collins (headliner),True
215,2004-10-01,Wells Fargo Center,Philadelphia,PA,"Bruce Springsteen (headliner), John Fogerty, REM, Bright Eyes (opener)",True
216,2004-10-13,Izod Center,East Rutherford,NJ,"Bruce Springsteen (headliner), John Fogerty, Patti Scialfa, Jackson Browne, Eddie Vedder (opener)",True
217,2004-11-04,Madison Square Garden,New York,NY,REM (headliner),True
218,2004-11-14,Beacon Theatre,New York,NY,John Fogerty (headliner),True
219,2004-11-30,Stamford Center for Arts,Stamford,CT,Hall & Oates (headliner),False
22,1996-07-07,Jones Beach Theater,Wantagh,NY,"Sting (headliner), Cowboy Junkies (opener)",True
220,2005-02-11,Stamford Center for Arts,Stamford,CT,Joe Cocker (headliner),False
221,2005-02-19,Stone Pony,Asbury Park,NJ,"Joe Grushecky (festival_performer), the Houserockers (festival_performer)",False
222,2005-03-10,Beacon Theatre,New York,NY,Allman Brothers Band (headliner),True
223,2005-04-01,CHI Health Center,Omaha,NE,"John Mellencamp (headliner), Donovan (opener)",True
224,2005-04-08,Izod Center,East Rutherford,NJ,The Eagles (headliner),True
225,2005-04-29,SNHU Arena,Manchester,NH,Green Day (headliner),True
226,2005-05-15,CHI Health Center,Omaha,NE,Green Day (headliner),True
227,2005-05-18,Izod Center,East Rutherford,NJ,U2 (headliner),True
228,2005-05-19,Izod Center,East Rutherford,NJ,Bruce Springsteen (headliner),True
229,2005-05-22,Wells Fargo Center,Philadelphia,PA,U2 (headliner),True
23,1996-07-13,Paramount Hudson Valley Theater,Peekskill,NY,Roger McGuinn (headliner),False
230,2005-06-07,Stamford Center for Arts,Stamford,CT,John Fogerty (headliner),True
231,2005-06-21,Jones Beach Theater,Wantagh,NY,Tom Petty & The Heartbreakers & Black Crowes (headliner),False
232,2005-06-22,Madison Square Garden,New York,NY,Oasis (headliner),True
233,2005-07-16,PNC Bank Arts Center,Holmdel,NJ,"John Mellencamp (festival_performer), John Fogerty (festival_performer)",True
234,2005-07-20,Total Mortgage Arena,Bridgeport,CT,Bruce Springsteen (headliner),True
235,2005-07-30,Randall's Island Park,New York,NY,"Dave Matthews Band (festival_performer), Barenaked Ladies (festival_performer)",True
236,2005-08-02,Beacon Theatre,New York,NY,"Crosby, Stills (festival_performer), Nash (festival_performer)",True
237,2005-08-18,BB King Blues Club,New York,NY,"Dickey Betts (festival_performer), Great Southern (festival_performer)",False
238,2005-09-15,Giants Stadium,East Rutherford,NJ,"The Rolling Stones (headliner), Alanis Morrisette (opener)",True
239,2005-09-30,Madison Square Garden,New York,NY,Paul McCartney (headliner),True
24,1996-07-20,Madison Square Garden,New York,NY,"The Who (headliner), Me'shell N'dge'Ocello (opener)",True
240,2005-10-01,Madison Square Garden,New York,NY,Paul McCartney (headliner),True
241,2005-10-09,Nassau Coliseum,Uniondale,NY,Bruce Springsteen (headliner),True
242,2005-10-16,Continental Airlines Arena,East Rutherford,NJ,Queen + Paul Rodgers (headliner),True
243,2005-10-25,Madison Square Garden,New York,NY,Cream (headliner),True
244,2005-11-17,Continental Airlines Arena,East Rutherford,NJ,Bruce Springsteen (headliner),True
245,2005-11-21,Madison Square Garden,New York,NY,"U2 (headliner), Patti Smith (opener)",True
246,2005-11-25,Towne Crier,Beacon,NY,Richie Havens (headliner),False
247,2005-12-09,Madison Square Garden,New York,NY,Dave Matthews Band (headliner),True
248,2005-11-29,92nd Street Y,New York,NY,Billy Joel (headliner),False
249,2005-11-22,Continental Airlines Arena,East Rutherford,NJ,Bon Jovi (headliner),False
25,1996-07-25,Madison Square Garden,New York,NY,"KISS (headliner), Dgeneration (opener)",False
250,2006-01-20,Mohegan Sun Arena,Uncasville,CT,Esteban (headliner),False
251,2006-01-23,Madison Square Garden,New York,NY,Billy Joel (headliner),True
252,2006-01-26,Madison Square Garden,New York,NY,Billy Joel (headliner),True
253,2006-02-15,Beacon Theatre,New York,NY,"Phil Lesh (festival_performer), Friends (festival_performer)",True
254,2006-03-10,NYCB Theatre at Westbury,Westbury,NY,"Leon Russell (festival_performer), Dave Mason (festival_performer)",False
255,2006-03-12,Nassau Coliseum,Uniondale,NY,Queen + Paul Rodgers (headliner),True
