Concert ID,Date,Venue,City,State,Festival Name,Headliners,Openers,Other Artists,Total Artists,Has Setlist
15,1996-03-12,Beacon Theatre,New York,NY,,Allman Brothers Band,,,1,True
150,2002-02-01,Webster Theater,Hartford,CT,Multi-Artist Show,,,Southside Johnny; the Asbury Jukes,2,False
151,2002-02-04,XL Center,Hartford,CT,Multi-Artist Show,,,Elton John; Billy Joel,2,True
152,2002-02-28,XL Center,Hartford,CT,Multi-Artist Show,,,Crosby; Stills; Nash & Young,3,True
153,2002-03-14,Beacon Theatre,New York,NY,,Allman Brothers Band,,,1,True
154,2002-04-20,Great South Bay Music Festival,Oakdale,NY,,Stone Temple Pilots,,,1,True
155,2002-04-21,Nassau Coliseum,Uniondale,NY,,Paul McCartney,,,1,True
156,2002-06-16,BB King Blues Club,New York,NY,Multi-Artist Show,,,Dickey Betts; Great Southern,2,True
157,2002-07-13,Montage Mountain Amphitheater,Scranton,PA,,Tom Petty & the Heartbreakers & Brian Setzer Trio,,,1,False
158,2002-07-15,Jones Beach Theater,Wantagh,NY,,Rush,,,1,True
159,2002-07-20,Jones Beach Theater,Wantagh,NY,,John Mellencamp,,,1,False
16,1996-02-01,XL Center,Hartford,CT,,Rod Stewart,,,1,False
160,2002-07-26,The Meadowlands,East Rutherford,NJ,,Dave Matthews Band,,,1,False
161,2002-07-27,Izod Center,East Rutherford,NJ,,Creed,,,1,True
162,2002-08-03,Mulcahy's Pub,Wantagh,NY,Multi-Artist Show,,,Dickey Betts; Great Southern,2,False
163,2002-08-05,Izod Center,East Rutherford,NJ,,Bruce Springsteen & the E Street Band,,,1,False
164,2002-08-11,Jones Beach Theater,Wantagh,NY,Multi-Artist Show,,,Bonnie Raitt; Lyle Lovett,2,False
165,2002-08-12,Madison Square Garden,New York,NY,,Bruce Springsteen & the E Street Band,,,1,False
166,2002-08-13,Jones Beach Theater,Wantagh,NY,,Allman Brothers Band,,,1,True
167,2002-08-31,Jones Beach Theater,Wantagh,NY,Multi-Artist Show,,,The Who; Robert Plant,2,True
168,2002-09-27,Nassau Coliseum,Uniondale,NY,Multi-Artist Show,,,Elton John; Billy Joel,2,True
169,2002-09-28,Giants Stadium,East Rutherford,NJ,,The Rolling Stones,The Pretenders,,2,True
17,1996-03-16,Eisenhower Hall Theatre,West Point,NY,,Billy Joel,,,1,False
170,2002-10-06,Wells Fargo Center,Philadelphia,PA,,Bruce Springsteen & the E Street Band,,,1,False
171,2002-10-11,Nassau Coliseum,Uniondale,NY,Multi-Artist Show,,,Elton John; Billy Joel,2,True
172,2002-11-17,XL Center,Hartford,CT,,Bob Dylan,,,1,True
173,2002-11-22,XL Center,Hartford,CT,,The Other Ones,Robert Hunter,,2,True
174,2002-12-03,XL Center,Hartford,CT,Multi-Artist Show,,,Guns; Roses,2,True
175,2002-12-13,Madison Square Garden,New York,NY,,Tom Petty & the Heartbreakers & Jackson Browne,,,1,False
176,2002-12-16,Schottenstein Center,Columbus,OH,,Bruce Springsteen & the E Street Band,,,1,False
177,2002-12-20,Madison Square Garden,New York,NY,,Dave Matthews Band,,,1,True
178,2003-03-17,Great South Bay Music Festival,Oakdale,NY,Multi-Artist Show,,,Dave Matthews; Tim Reynolds,2,False
179,2003-04-25,Quinnipiac University,Hamden,CT,,Guster,,,1,True
18,1996-05-01,Mid-Hudson Civic Center,Poughkeepsie,NY,,Bob Dylan,,,1,True
180,2003-04-30,Nassau Coliseum,Uniondale,NY,,Pearl Jam,,,1,True
181,2003-05-20,Madison Square Garden,New York,NY,,Red Hot Chile Peppers,Queens of the Stone Age,,2,False
182,2003-07-15,Giants Stadium,East Rutherford,NJ,,Bruce Springsteen & the E Street Band,,,1,False
183,2003-07-17,Giants Stadium,East Rutherford,NJ,,Bruce Springsteen & the E Street Band,,,1,False
184,2003-07-21,Giants Stadium,East Rutherford,NJ,,Bruce Springsteen & the E Street Band,,,1,False
185,2003-07-24,Giants Stadium,East Rutherford,NJ,,Bruce Springsteen & the E Street Band,,,1,False
186,2003-07-27,Giants Stadium,East Rutherford,NJ,,Bruce Springsteen & the E Street Band,,,1,False
187,2003-03-02,Foxwoods Resort Casino,Mashantucket,CT,Multi-Artist Show,,,Huey Lewis; the News,2,False
188,2003-08-08,Giants Stadium,East Rutherford,NJ,,Bon Jovi,,,1,True
189,2003-08-09,PNC Bank Arts Center,Holmdel,NJ,,Tom Petty & the Heartbreakers & Bob Dylan,,,1,False
19,1996-06-08,Jones Beach Theater,Wantagh,NY,,Bob Seger & the Silver Bullet Band,Bone Pony,,2,False
190,2003-08-11,PNC Bank Arts Center,Holmdel,NJ,Multi-Artist Show,,,KISS; Aerosmith,2,True
191,2003-08-28,Giants Stadium,East Rutherford,NJ,,Bruce Springsteen & the E Street Band,,,1,False
192,2003-09-06,Grange Fair,Yorktown Heights,NY,,Mountain,,,1,False
193,2003-09-24,Central Park,New York,NY,,Dave Matthews Band,,,1,True
194,2003-09-30,Madison Square Garden,New York,NY,,Fleetwood Mac,,,1,True
195,2003-10-04,Shea Stadium,Queens,NY,,Bruce Springsteen & the E Street Band,,,1,False
196,2003-11-16,Madison Square Garden,New York,NY,Multi-Artist Show,,,KISS; Aerosmith,2,True
197,2003-12-08,Convention Hall,Asbury Park,NJ,,Bruce Springsteen,Max Weinberg 7 & Friends,,2,True
198,2004-01-18,BB King Blues Club,New York,NY,Multi-Artist Show,,,Southside Johnny; the Asbury Jukes,2,False
199,2004-02-22,Izod Center,East Rutherford,NJ,,Barenaked Ladies,,,1,True
2,1995-12-21,Westchester County Center,White Plains,NY,,Kenny Rogers,,,1,False
20,1996-06-24,Nassau Coliseum,Uniondale,NY,,The Eagles,,,1,True
200,2004-03-28,Beacon Theatre,New York,NY,,Allman Brothers Band,,,1,True
201,2004-04-27,Total Mortgage Arena,Bridgeport,CT,,Elton John,,,1,True
202,2004-05-22,Madison Square Garden,New York,NY,,The Who,David Johanssen,,2,True
203,2004-06-22,Izod Center,East Rutherford,NJ,,Van Halen (Hagar),,,1,True
204,2004-06-28,Madison Square Garden,New York,NY,,Eric Clapton,Robert Randolph band,,2,True
205,2004-07-07,Izod Center,East Rutherford,NJ,,Madonna,,,1,True
206,2004-07-16,Izod Center,East Rutherford,NJ,,Prince,,,1,True
207,2004-07-17,The Meadowlands,East Rutherford,NJ,,Dave Matthews Band,,,1,True
208,2004-07-18,Radio City Music Hall,New York,NY,Multi-Artist Show,,,Elton John; Symphony,2,False
209,2004-07-21,Jones Beach Theater,Wantagh,NY,,KISS,Poison,,2,True
21,1996-07-04,Broad Street Ballroom,New York,NY,,The Band,,,1,True
