Concert ID,Date,Venue,City,State,Festival Name,Artist Name,Artist ID,Artist Role,Artist Position,Has Setlist
328,2007-12-02,Ridgefield Playhouse,Ridgefield,CT,Multi-Artist Show,Retrotones,667,festival_performer,2,False
329,2008-01-08,Gibson Guitar Tent (Vegas),Las Vegas,NV,,Peter Frampton,424,headliner,1,False
33,1996-12-29,Nassau Coliseum,Uniondale,NY,,KISS,310,headliner,1,True
330,2008-01-31,BB King Blues Club,New York,NY,,Eddie Money,187,headliner,1,False
331,2008-02-28,Madison Square Garden,New York,NY,Multi-Artist Show,Eric Clapton,199,festival_performer,1,True
331,2008-02-28,Madison Square Garden,New York,NY,Multi-Artist Show,Steve Winwood,542,festival_performer,2,True
332,2008-03-10,Nassau Coliseum,Uniondale,NY,,Bruce Springsteen & the E Street Band,89,headliner,1,False
333,2008-04-03,Beacon Theatre,New York,NY,,Ratdog,448,headliner,1,True
334,2008-04-06,Great South Bay Music Festival,Oakdale,NY,,Jackson Browne,259,headliner,1,False
335,2008-04-09,Radio City Music Hall,New York,NY,,Elton John,189,headliner,1,True
336,2008-04-25,State Farm Arena,Atlanta,GA,,Bruce Springsteen & the E Street Band,89,headliner,1,False
337,2008-05-23,Mohegan Sun Arena,Uncasville,CT,,Billy Joel,48,headliner,1,True
338,2008-05-30,Madison Square Garden,New York,NY,,The Eagles,572,headliner,1,True
339,2008-05-31,PNC Bank Arts Center,Holmdel,NJ,,Stone Temple Pilots,550,headliner,1,True
34,1997-03-12,Beacon Theatre,New York,NY,,Allman Brothers Band,20,headliner,1,True
340,2008-06-05,Jones Beach Theater,Wantagh,NY,,Eric Clapton,199,headliner,1,True
341,2008-06-10,The Theater at Madison Square Garden,New York,NY,Multi-Artist Show,Robert Plant,470,festival_performer,1,True
341,2008-06-10,The Theater at Madison Square Garden,New York,NY,Multi-Artist Show,Alison Krauss,15,festival_performer,2,True
342,2008-06-12,Madison Square Garden,New York,NY,,Jimmy Buffett,277,headliner,1,True
343,2008-06-17,Madison Square Garden,New York,NY,,Tom Petty & the Heartbreakers,599,headliner,1,True
343,2008-06-17,Madison Square Garden,New York,NY,,Steve Winwood,542,opener,2,True
344,2018-06-18,Prudential Center,Newark,NJ,,Tom Petty & the Heartbreakers,599,headliner,1,False
344,2018-06-18,Prudential Center,Newark,NJ,,Steve Winwood,542,opener,2,False
345,2008-06-25,Madison Square Garden,New York,NY,,Pearl Jam,422,headliner,1,True
346,2008-07-03,Ives Concert Park,Danbury,CT,,The Beach Boys,566,headliner,1,True
347,2008-07-11,Jones Beach Theater,Wantagh,NY,,Steve Miller Band,539,headliner,1,True
347,2008-07-11,Jones Beach Theater,Wantagh,NY,,Joe Cocker,282,opener,2,True
348,2008-07-14,Madison Square Garden,New York,NY,,Bon Jovi,71,headliner,1,True
349,2008-07-16,Shea Stadium,Queens,NY,,Billy Joel,48,headliner,1,True
35,1997-04-12,Paramount Theater at MSG,New York,NY,,John Mellencamp,302,headliner,1,True
350,2008-07-18,Shea Stadium,Queens,NY,,Billy Joel,48,headliner,1,True
351,2008-07-27,Giants Stadium,East Rutherford,NJ,,Bruce Springsteen & the E Street Band,89,headliner,1,False
352,2008-07-28,Giants Stadium,East Rutherford,NJ,,Bruce Springsteen & the E Street Band,89,headliner,1,False
353,2008-07-31,Giants Stadium,East Rutherford,NJ,,Bruce Springsteen & the E Street Band,89,headliner,1,False
354,2008-07-03,PNC Bank Arts Center,Holmdel,NJ,,The Police,580,headliner,1,False
354,2008-07-03,PNC Bank Arts Center,Holmdel,NJ,,Elvis Costello,191,opener,2,False
355,2008-08-07,Rockin River Cruise,New York,NY,,John Hiatt,297,headliner,1,False
356,2008-08-12,Madison Square Garden,New York,NY,,Neil Diamond,399,headliner,1,True
357,2008-08-25,NYCB Theatre at Westbury,Westbury,NY,Multi-Artist Show,Huey Lewis,252,festival_performer,1,True
357,2008-08-25,NYCB Theatre at Westbury,Westbury,NY,Multi-Artist Show,the News,665,festival_performer,2,True
358,2008-08-27,Jones Beach Theater,Wantagh,NY,,Jimmy Buffett,277,headliner,1,True
359,2008-10-16,SUNY Purchase,Purchase,NY,Multi-Artist Show,Crosby,142,festival_performer,1,True
359,2008-10-16,SUNY Purchase,Purchase,NY,Multi-Artist Show,Nash,394,festival_performer,2,True
36,1997-04-25,Paramount Hudson Valley Theater,Peekskill,NY,,Ray Davies,450,headliner,1,False
360,2008-11-07,Chelsea Piers,New York,NY,,Bon Jovi,71,headliner,1,False
361,2008-11-08,Queens College,Queens,NY,,Fab Faux,205,headliner,1,False
362,2008-11-13,Madison Square Garden,New York,NY,,ACDC,5,headliner,1,True
363,2008-11-15,Mohegan Sun Arena,Uncasville,CT,,Elton John,189,headliner,1,True
364,2008-11-24,Carnegie Hall,New York,NY,,Family Guy Sings Live at Carnegie Hall (Seth MacFarlane),209,headliner,1,False
365,2008-12-04,NYCB Theatre at Westbury,Westbury,NY,,Tony Bennett,610,headliner,1,False
366,2008-12-16,Madison Square Garden,New York,NY,,Neil Young,401,headliner,1,True
366,2008-12-16,Madison Square Garden,New York,NY,,Wilco & Everest,635,opener,2,True
367,2008-12-18,Ridgefield Playhouse,Ridgefield,CT,,Rockapella,478,headliner,1,False
367,2008-12-18,Ridgefield Playhouse,Ridgefield,CT,,Retrotones,452,opener,2,False
368,2009-01-14,The Town Hall,New York,NY,,Bon Jovi (Hillary Benefit),72,headliner,1,False
369,2009-01-25,Madison Square Garden,New York,NY,,The Killers,575,headliner,1,True
37,1997-05-31,Giants Stadium,East Rutherford,NJ,,U2,618,headliner,1,True
370,2009-02-08,Morristown Theater,Morristown,NJ,Multi-Artist Show,John Hiatt,297,festival_performer,1,True
370,2009-02-08,Morristown Theater,Morristown,NJ,Multi-Artist Show,Lyle Lovett,360,festival_performer,2,True
371,2009-03-09,Beacon Theatre,New York,NY,,Allman Brothers Band,20,headliner,1,True
372,2009-03-24,Convention Hall,Asbury Park,NJ,,Bruce Springsteen & the E Street Band,89,headliner,1,False
